user_id,genre,freq
655,Drama,410
405,Drama,309
537,Drama,251
450,Drama,237
13,Drama,218
234,Drama,213
416,Drama,212
279,Comedy,211
201,Drama,196
393,Comedy,191
181,Drama,188
303,Comedy,184
334,Drama,174
90,Drama,173
378,Drama,170
276,Drama,168
429,Drama,167
474,Drama,166
293,Drama,165
308,Drama,163
59,Drama,162
592,Drama,162
846,Drama,161
94,Drama,155
561,Drama,155
880,Comedy,154
85,Drama,152
406,Drama,151
269,Drama,148
7,Drama,146
894,Drama,146
707,Drama,145
642,Comedy,141
184,Drama,141
18,Drama,141
896,Drama,138
151,Drama,137
682,Drama,137
354,Drama,136
328,Drama,135
271,Drama,134
916,Drama,134
92,Drama,133
727,Action,132
747,Drama,132
222,Comedy,131
286,Comedy,131
524,Drama,130
796,Drama,129
435,Comedy,128
551,Drama,128
417,Comedy,127
535,Drama,127
299,Drama,126
194,Drama,126
311,Drama,126
889,Drama,125
345,Drama,125
883,Drama,124
870,Drama,124
385,Drama,123
758,Drama,123
130,Action,120
389,Comedy,120
343,Drama,119
268,Comedy,118
125,Comedy,118
437,Drama,117
387,Drama,116
457,Drama,116
144,Drama,116
305,Drama,114
648,Comedy,114
327,Drama,113
87,Comedy,113
533,Drama,112
425,Action,111
314,Comedy,111
339,Drama,110
798,Comedy,110
454,Drama,110
864,Drama,109
711,Drama,108
618,Drama,108
363,Drama,108
500,Drama,108
919,Drama,108
62,Drama,108
497,Action,107
1,Drama,107
804,Comedy,105
854,Drama,105
749,Action,105
788,Drama,105
224,Drama,104
6,Drama,104
504,Drama,104
666,Drama,103
653,Drama,103
790,Comedy,103
608,Drama,103
399,Drama,103
650,Drama,102
145,Drama,102
342,Drama,102
472,Action,101
409,Drama,101
244,Comedy,101
102,Action,101
716,Drama,101
336,Comedy,100
207,Drama,100
178,Drama,99
455,Drama,99
458,Drama,98
301,Comedy,98
833,Drama,97
374,Drama,97
95,Drama,97
189,Drama,96
627,Drama,96
312,Drama,96
588,Drama,95
456,Drama,95
532,Drama,95
805,Comedy,95
639,Drama,94
291,Comedy,93
486,Drama,92
757,Action,92
782,Drama,92
932,Drama,92
660,Action,91
886,Drama,91
407,Comedy,91
373,Drama,90
174,Comedy,90
452,Drama,88
49,Comedy,88
807,Action,88
280,Drama,87
43,Comedy,87
109,Action,87
659,Drama,86
503,Drama,86
128,Drama,85
840,Drama,85
721,Drama,85
60,Drama,85
313,Drama,85
318,Comedy,84
487,Drama,84
606,Drama,83
774,Action,83
881,Comedy,83
586,Action,83
514,Drama,83
543,Drama,83
344,Drama,83
5,Comedy,82
11,Drama,82
119,Drama,82
346,Action,81
545,Action,81
693,Drama,81
10,Drama,81
56,Comedy,81
158,Action,81
468,Drama,81
296,Drama,80
664,Drama,79
200,Action,79
826,Action,78
64,Drama,78
380,Drama,78
527,Drama,78
506,Comedy,78
332,Action,77
671,Action,77
622,Action,77
712,Comedy,77
197,Action,76
239,Drama,76
795,Comedy,76
878,Drama,76
479,Action,75
347,Action,75
320,Action,75
600,Action,75
321,Drama,74
267,Action,74
621,Comedy,74
83,Comedy,74
643,Comedy,74
593,Drama,73
295,Drama,73
868,Comedy,73
398,Comedy,73
394,Action,73
256,Action,73
663,Drama,72
22,Comedy,72
709,Action,72
619,Action,72
828,Drama,72
567,Drama,72
116,Drama,72
198,Drama,72
379,Drama,72
542,Comedy,71
733,Drama,71
495,Action,71
933,Comedy,71
488,Drama,71
498,Drama,70
907,Drama,70
763,Drama,70
815,Drama,70
246,Action,69
476,Comedy,69
217,Action,69
214,Drama,69
892,Drama,69
851,Drama,69
694,Drama,68
936,Drama,68
484,Action,68
766,Drama,68
823,Drama,68
585,Drama,68
751,Comedy,68
934,Drama,68
521,Action,68
548,Drama,67
297,Drama,67
903,Drama,67
72,Drama,67
58,Drama,67
738,Action,66
615,Drama,66
629,Drama,66
391,Drama,66
21,Thriller,66
690,Comedy,66
42,Drama,66
566,Drama,66
436,Drama,65
715,Action,65
577,Drama,64
262,Drama,64
943,Action,64
401,Drama,64
233,Drama,63
634,Drama,63
843,Drama,63
381,Drama,63
624,Drama,63
264,Comedy,63
236,Drama,62
325,Drama,62
442,Action,62
536,Drama,62
887,Comedy,61
862,Drama,61
326,Drama,61
249,Drama,61
835,Drama,61
773,Drama,61
463,Drama,59
243,Drama,59
210,Comedy,59
601,Drama,59
453,Drama,59
645,Drama,59
705,Action,59
232,Drama,58
360,Drama,58
848,Drama,58
82,Drama,58
466,Action,58
294,Action,58
392,Drama,57
897,Action,57
847,Comedy,57
523,Comedy,57
216,Drama,57
927,Comedy,57
104,Drama,57
699,Drama,56
16,Drama,56
213,Drama,56
270,Drama,56
901,Comedy,56
493,Action,55
665,Drama,55
263,Drama,55
918,Drama,54
806,Drama,54
152,Comedy,54
23,Drama,54
221,Action,54
330,Drama,53
654,Drama,53
871,Drama,53
290,Action,53
445,Drama,53
361,Drama,53
913,Drama,53
99,Drama,53
496,Drama,52
177,Drama,52
316,Drama,52
254,Children,52
541,Comedy,52
44,Drama,51
160,Drama,51
298,Drama,51
186,Thriller,51
875,Drama,50
230,Drama,50
37,Action,50
684,Comedy,50
110,Action,50
825,Drama,50
746,Action,49
669,Drama,49
637,Drama,49
661,Drama,49
786,Drama,49
638,Action,49
605,Drama,49
292,Drama,48
235,Drama,48
553,Drama,48
554,Drama,48
447,Drama,48
15,Drama,48
288,Drama,48
591,Comedy,48
70,Action,48
899,Drama,48
940,Drama,48
478,Comedy,48
122,Drama,47
748,Drama,47
704,Drama,47
397,Drama,47
922,Comedy,47
499,Drama,47
632,Drama,47
65,Drama,46
76,Drama,46
91,Drama,46
57,Comedy,46
383,Drama,46
698,Drama,46
885,Comedy,46
323,Drama,46
863,Drama,46
617,Horror,46
830,Action,45
223,Comedy,45
882,Comedy,45
867,Drama,45
764,Drama,45
505,Drama,45
640,Comedy,45
460,Drama,44
620,Children,44
423,Drama,44
188,Drama,44
159,Comedy,43
579,Comedy,43
38,Comedy,43
121,Drama,43
255,Thriller,42
683,Drama,42
193,Comedy,42
731,Drama,42
250,Drama,42
890,Drama,42
877,Drama,42
63,Drama,42
459,Action,42
921,Comedy,42
275,Action,42
115,Drama,41
26,Drama,41
924,Drama,41
538,Drama,41
568,Drama,41
449,Drama,41
708,Comedy,41
257,Drama,40
829,Drama,40
717,Drama,40
331,Drama,40
938,Comedy,40
741,Comedy,40
710,Drama,40
195,Drama,40
595,Drama,40
630,Drama,40
106,Drama,40
215,Drama,40
625,Comedy,39
560,Drama,39
8,Action,39
492,Drama,39
14,Drama,39
